titleName;holderName;currentChampion;shows;level;division;image
AEW World Heavyweight Championship;AEW World Champion;Swerve Strickland;Dynamite, Collision;Main Event, Upper Card;Men;images\titles\aew_world.png
Womens World Championship;Womens Champion;Toni Storm;Dynamite, Collision, Rampage;Upper Card, Mid Card;Women;images\titles\aew_womens.png
TNT Championship;TNT Champion;Sammy Guevara;Dynamite, Collision, Rampage;Upper Card, Mid Card;Men;images\titles\tnt.png
TBS Championship;TBS Champion;Kris Statlander;Dynamite, Collision, Rampage;Upper Card, Mid Card;Women;images\titles\tbs.png
TNT Championship;TNT Champion;Sammy Guevara;Dynamite, Collision, Rampage;Upper Card, Mid Card;Men;images\titles\tnt.png
TNT Championship;TNT Champion;Sammy Guevara;Dynamite, Collision, Rampage;Upper Card, Mid Card;Men;images\titles\tnt.png
